iter	Passed	Remaining
0	156	156675
1	157	78785
2	158	52745
3	159	39696
4	160	31848
5	160	26633
6	161	22891
7	161	20086
8	162	17918
9	163	16170
10	164	14746
11	164	13559
12	165	12546
13	165	11691
14	166	10948
15	167	10303
16	168	9735
17	168	9219
18	169	8753
19	170	8337
20	170	7960
21	171	7619
22	171	7304
23	172	7023
24	173	6765
25	173	6515
26	174	6286
27	174	6072
28	175	5873
29	175	5688
30	176	5515
31	176	5351
32	177	5198
33	177	5054
34	178	4919
35	178	4790
36	179	4669
37	179	4555
38	180	4446
39	181	4344
40	181	4246
41	182	4152
42	182	4064
43	183	3978
44	183	3900
45	184	3822
46	184	3747
47	185	3675
48	185	3605
49	186	3539
50	186	3476
51	187	3413
52	187	3354
53	188	3297
54	188	3242
55	189	3189
56	189	3138
57	190	3087
58	190	3040
59	191	2993
60	191	2949
61	192	2906
62	192	2864
63	193	2823
64	193	2783
65	193	2745
66	194	2707
67	194	2671
68	195	2637
69	196	2605
70	196	2573
71	197	2541
72	197	2509
73	198	2478
74	198	2449
75	199	2420
76	199	2393
77	200	2365
78	200	2338
79	201	2312
80	201	2286
81	202	2261
82	202	2235
83	202	2211
84	203	2188
85	203	2166
86	204	2143
87	204	2121
88	205	2100
89	205	2080
90	206	2060
91	206	2041
92	207	2022
93	207	2003
94	208	1985
95	208	1967
96	209	1950
97	209	1932
98	210	1915
99	211	1900
100	211	1884
101	212	1868
102	212	1852
103	213	1836
104	213	1821
105	214	1806
106	214	1791
107	215	1776
108	215	1763
109	216	1749
110	216	1735
111	217	1722
112	217	1708
113	218	1695
114	218	1682
115	219	1670
116	219	1656
117	220	1644
118	220	1632
119	220	1620
120	221	1609
121	221	1596
122	222	1585
123	222	1574
124	223	1563
125	223	1552
126	224	1541
127	224	1530
128	225	1520
129	225	1511
130	226	1501
131	226	1490
132	227	1481
133	227	1471
134	228	1462
135	228	1452
136	229	1444
137	229	1435
138	230	1426
139	230	1417
140	231	1408
141	231	1399
142	232	1390
143	232	1382
144	233	1374
145	233	1365
146	233	1357
147	234	1349
148	234	1341
149	235	1334
150	235	1326
151	236	1319
152	236	1311
153	237	1304
154	237	1296
155	238	1289
156	238	1282
157	239	1275
158	239	1268
159	240	1261
160	240	1254
161	241	1247
162	241	1241
163	242	1234
164	242	1228
165	243	1223
166	243	1217
167	244	1211
168	245	1204
169	245	1199
170	246	1193
171	246	1187
172	247	1181
173	247	1176
174	248	1170
175	248	1165
176	249	1159
177	249	1153
178	250	1147
179	250	1142
180	251	1136
181	251	1131
182	252	1125
183	252	1120
184	253	1114
185	253	1109
186	253	1104
187	254	1099
188	255	1094
189	255	1090
190	256	1085
191	256	1081
192	257	1076
193	257	1071
194	258	1066
195	258	1062
196	259	1057
197	259	1052
198	260	1047
199	260	1043
200	261	1038
201	261	1033
202	262	1029
203	262	1024
204	263	1020
205	263	1016
206	264	1012
207	264	1007
208	265	1003
209	265	999
210	266	995
211	266	990
212	267	986
213	267	982
214	268	978
215	268	974
216	269	970
217	269	966
218	269	962
219	270	959
220	271	955
221	271	951
222	272	948
223	272	944
224	273	940
225	273	937
226	274	933
227	274	929
228	275	926
229	275	922
230	276	919
231	276	915
232	277	911
233	277	908
234	277	904
235	278	901
236	278	897
237	279	894
238	279	890
239	280	887
240	280	884
241	281	881
242	281	877
243	282	874
244	282	871
245	283	868
246	283	865
247	284	861
248	284	858
249	285	856
250	286	853
251	286	850
252	287	847
253	287	844
254	288	841
255	288	838
256	289	835
257	289	832
258	290	829
259	290	826
260	291	824
261	291	821
262	291	818
263	292	815
264	292	812
265	293	809
266	293	806
267	294	803
268	294	801
269	295	798
270	295	795
271	296	792
272	296	790
273	297	787
274	297	784
275	298	782
276	298	779
277	299	777
278	299	774
279	300	772
280	300	770
281	301	767
282	301	764
283	302	762
284	302	759
285	303	757
286	303	754
287	304	752
288	304	749
289	305	747
290	305	745
291	306	742
292	306	740
293	307	737
294	307	735
295	308	733
296	308	730
297	309	728
298	309	726
299	310	723
300	310	721
301	311	719
302	311	717
303	312	714
304	312	712
305	313	710
306	313	707
307	314	705
308	314	703
309	315	701
310	315	699
311	316	697
312	316	695
313	317	692
314	317	690
315	318	688
316	318	686
317	319	684
318	319	682
319	320	680
320	320	677
321	320	675
322	321	673
323	321	671
324	322	669
325	322	667
326	323	665
327	323	663
